ID,sentence1,sentence2,labels1,labels2,capability,test_type,is_predicate1,is_predicate2,target_tokens2,expected_prediction
verb_ellipsis_1,"John can play the guitar , and Mary can play too .","John can play the guitar , and Mary can too .","['ARG0', 'O', 'O', 'ARG1', 'ARG1', 'O' ,'O', 'ARG0', 'O', 'O', 'O', 'O']","['ARG0', 'O', 'O', 'ARG1', 'ARG1', 'O', 'O', 'ARG0', 'O', 'O', 'O']",verb_ellipsis,inv,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0']","['0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0']",['7'],['ARG0']
verb_ellipsis_2,"They have been to Italy , and we have been to Italy as well .","They have been to Italy , and we have as well .","['ARG0', 'O', 'O', 'ARG1', 'ARG1', 'O', 'O', 'ARG0', 'O', 'O', 'ARG1', 'ARG1', 'O', 'O', 'O']","['ARG0', 'O', 'O', 'ARG1', 'ARG1', 'O', 'O', 'ARG0', 'O', 'O', 'O', 'O']",verb_ellipsis,inv,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0']","['0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0']",['7'],['ARG0']
verb_ellipsis_3,"We could see the movie tonight , or we could see the movie tomorrow .","We could see the movie tonight , or we could tomorrow .","['ARG0', 'O', 'O', 'ARG1', 'ARG1', 'O', 'O', 'O', 'ARG0', 'O', 'O', 'ARG1', 'ARG1',  'O', 'O']","['ARG0', 'O', 'O', 'ARG1', 'ARG1', 'O', 'O', 'O', 'ARG0', 'O', 'O', 'O']",verb_ellipsis,inv,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0']","['0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0']",['8'],['ARG0']
verb_ellipsis_4,"You should call your mom more often , and you should call your dad too .","You should call your mom more often, and your dad too .","['ARG0', 'O', 'O', 'ARG1', 'ARG1', 'O', 'O', 'O', 'O', 'ARG0', 'O', 'O', 'ARG1', 'ARG1', 'O', 'O']","['ARG0', 'O', 'O', 'ARG1', 'ARG1', 'O', 'O', 'O', 'O', 'ARG1', 'ARG1', 'O', 'O']",verb_ellipsis,inv,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0']","['0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['9', '10']","['ARG1', 'ARG1']"
verb_ellipsis_5,"I used to play the piano , and my brother used to play the violin .","I used to play the piano , and my brother the violin .","['ARG0', 'O', 'O', 'O', 'ARG1', 'ARG1', 'O', 'O', 'ARG0', 'ARG0', 'O', 'O', 'O', 'ARG1', 'ARG1', 'O']","['ARG0', 'O', 'O', 'O', 'ARG1', 'ARG1', 'O', 'O', 'ARG0', 'ARG0', 'ARG1', 'ARG1', 'O']",verb_ellipsis,inv,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0']","['0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['7', '8' , '9', '10']","['ARG0', 'ARG0', 'ARG1','ARG1']"
noun_ellipsis_1,"When Susan brings her dog , Sam brings his dog too .","When Susan brings her dog , Sam brings his too .","['O', 'ARG0', 'O', 'ARG1', 'ARG1', 'O', 'ARG0', 'O', 'ARG1', 'ARG1', 'O', 'O']","['O', 'ARG0', 'O', 'ARG1', 'ARG1', 'O', 'ARG0', 'O', 'ARG1', 'O', 'O']",noun_ellipsis,inv,"['0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0']","['6', '8']","['ARG0', 'ARG1']"
noun_ellipsis_2,Jill likes your story even though she hates Bill's story .,Jill likes your story even though she hates Bill's .,"['ARG0', 'O', 'ARG1', 'ARG1', 'O', 'O', 'ARG0', 'O', 'ARG1', 'ARG1', 'O']","['ARG0', 'O', 'ARG1', 'ARG1', 'O', 'O', 'ARG0', 'O', 'ARG1', 'O']",noun_ellipsis,inv,"['0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '1', '0', '0']","['6', '8']","['ARG0', 'ARG1']"
noun_ellipsis_3,"Because you bought two donuts , I bought three donuts .","Because you bought two donuts , I bought three .","['O', 'ARG0', 'O', 'ARG1', 'ARG1', 'O', 'ARG0', 'O', 'ARG1', 'ARG1', 'O']","['O', 'ARG0', 'O', 'ARG1', 'ARG1', 'O', 'ARG0', 'O', 'ARG1', 'O']",noun_ellipsis,inv,"['0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '1', '0', '0']","['6', '8']","['ARG0', 'ARG1']"
noun_ellipsis_4,I caught the first train before you caught the second train .,I caught the first train before you caught the second .,"['ARG0', 'O', 'ARG1', 'ARG1', 'ARG1',  'O', 'ARG0', 'O', 'ARG1', 'ARG1', 'ARG1', 'O']","['ARG0', 'O', 'ARG1', 'ARG1', 'ARG1', 'O', 'ARG0', 'O', 'ARG1', 'ARG1', 'O']",noun_ellipsis,inv,"['0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0']","['0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0']","['6', '7', '8']","['ARG0', 'ARG1','ARG1']"
noun_ellipsis_5,"Some school kids like syntax , and some school kids don't .","Some school kids like syntax , and some don't .","['ARG0', 'ARG0', 'ARG0', 'O', 'ARG1', 'O', 'O', 'ARG0', 'ARG0', 'ARG0', 'O', 'O']","['ARG0', 'ARG0', 'ARG0', 'O', 'ARG1', 'O', 'O', 'ARG0', 'O', 'O']",noun_ellipsis,inv,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '1']",['7'],['ARG0']
