ID,sentence,labels,capability,test_type,broad_capability,is_predicate,target_predicate,target_arguments
passive_voice_mrt_1,The dog was adopted by family .,"['ARG1', 'ARG1', 'O', 'O', 'O', 'ARG0', 'O']",passive_voice,mft,argument_alternation ,"['0', '0', '0', '1', '0', '0', '0']",token 3,"tokens 0, 1, 5"
passive_voice_mrt_2,All the cookies have been eaten by children .,"['ARG1', 'ARG1', 'ARG1', 'O', 'O', 'O', 'O', 'ARG0', 'O']",passive_voice,mft,argument_alternation ,"['0', '0', '0', '0', '1', '0', '0', '0']",token4,"tokens 0, 1, 6, 7"
passive_voice_mrt_3,A novel was being written by the author .,"['ARG1', 'ARG1', 'O', 'O', 'O', 'O', 'ARG0', 'ARG0', 'O']",passive_voice,mft,argument_alternation ,"['0', '0', '0', '1', '0', '0', '0', '0', '0', '0']",token 3,"tokens 0, 1, 6, 7"
passive_voice_mrt_4,The song was sung by the choir with great emotion .,"['ARG1', 'ARG1', 'O', 'O', 'O', 'ARG0', 'ARG0', 'O', 'O', 'O', 'O']",passive_voice,mft,argument_alternation ,"['0', '0', '0', '1', '0', '0', '0', '0', '0', '0']",token 3,"tokens 0, 1, 5, 6"
passive_voice_mrt_5,The project was completed by the group ahead of schedule .,"['ARG1', 'ARG1', 'O', 'O', 'O', 'ARG0', 'ARG0', 'O', 'O', 'O', 'O']",passive_voice,mft,argument_alternation ,"['0', '0', '0', '1', '0', '0', '0', '0', '0', '0']",token 3,"tokens 0, 1, 5, 6"
passive_voice_mrt_6,The message was sent by the manager to all employees .,"['ARG1', 'ARG1', 'O', 'O', 'O', 'ARG0', 'ARG0', 'O', 'O', 'O', 'O']",passive_voice,mft,argument_alternation ,"['0', '0', '0', '1', '0', '0', '0', '0', '0', '0']",token 3,"tokens 0, 1, 5, 6"
passive_voice_mrt_7,The tree was planted by the community in the local park .,"['ARG1', 'ARG1', 'O', 'O', 'O', 'ARG0', 'ARG0', 'O', 'O', 'O', 'O', 'O']",passive_voice,mft,argument_alternation ,"['0', '0', '0', '1', '0', '0', '0', '0', '0', '0']",token 3,"tokens 0, 1, 5, 6"
passive_voice_mrt_8,The car was washed by the worker .,"['ARG1', 'ARG1', 'O', 'O', 'O', 'ARG0', 'ARG0', 'O']",passive_voice,mft,argument_alternation ,"['0', '0', '0', '1', '0', '0', '0']",token 3,"tokens 0, 1, 5, 6"
passive_voice_mrt_9,The ball was kicked by the football player .,"['ARG1', 'ARG1', 'O', 'O', 'O', 'ARG0', 'ARG0', 'ARG0', 'O']",passive_voice,mft,argument_alternation ,"['0', '0', '0', '1', '0', '0', '0', '0']",token 3,"tokens 0, 1, 5, 6, 7"
passive_voice_mrt_10,The speech was delivered by the president with confidence .,"['ARG1', 'ARG1', 'O', 'O', 'O', 'ARG0', 'ARG0', 'O', 'O', 'O']",passive_voice,mft,argument_alternation ,"['0', '0', '0', '1', '0', '0', '0', '0', '0']",token 3,"tokens 0, 1, 5, 6"
polysemy_mft_1_1,"But you see , those Kurds made the silly mistake of not being American citizens …","['O', 'ARG0', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",polysemy,mft,Ambiguity,"['0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",token 2,tokens 1
polysemy_mft_1_2,John saw the President to his car .,"['ARG0', 'O', 'ARG1', 'ARG1', 'ARG2', 'ARG2', 'ARG2', 'O']",polysemy,mft,Ambiguity,"['0', '1', '0', '0', '0', '0', '0']",token 1,"tokens 0, 2, 3, 4, 5, 6"
polysemy_mft_1_3,They should see to it that their kids don't play truant .,"['ARG0', 'O', 'O', 'ARG1', 'ARG1', 'ARG2', 'ARG2', 'ARG2', 'ARG2', 'ARG2', 'ARG2', 'O']",polysemy,mft,Ambiguity,"['0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0']",token 2,"tokens 0, 3, 4, 5, 6, 7, 8, 9, 10"
polysemy_mft_2_1,President Clinton has addressed the people of Vietnam .,"['ARG0', 'ARG0', 'O', 'O', 'ARG2', 'ARG2', 'ARG2', 'ARG2', 'O']",polysemy,mft,Ambiguity,"['0', '0', '0', '1', '0', '0', '0', '0']",token 3,"tokens 0, 1, 4, 5, 6, 7"
polysemy_mft_2_2,IBM address the damage that a resurgent corporation has inflicted in that market .,"['ARG0', 'O', 'ARG1', 'ARG1', 'ARG1', 'ARG1', 'ARG1', 'ARG1', 'ARG1', 'ARG1', 'ARG1', 'ARG1', 'ARG1', 'O']",polysemy,mft,Ambiguity,"['0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",token 1,"tokens 0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
polysemy_mft_3_1,Ford should meet the deadline easily .,"['ARG0', 'O', 'O', 'ARG1', 'ARG1', 'O', 'O']",polysemy,mft,Ambiguity,"['0', '0', '1', '0', '0', '0']",token 2,"tokens 0, 3, 4"
polysemy_mft_3_2,When hawk meets hawk .,"['O', 'ARG0', 'O', 'ARG1', 'O']",polysemy,mft,Ambiguity,"['0', '0', '1', '0']",token 2,"tokens 1, 3"
polysemy_mft_3_3,Argentine negotiator Carlos Carballo will meet with banks this week .  ,"['ARG0', 'ARG0', 'ARG0', 'ARG0', 'O', 'O', 'ARG1', 'ARG1', 'O', 'O', 'O']",polysemy,mft,Ambiguity,"['0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0']",token 6,"tokens 0, 1, 2, 3, 6, 7"
robustness_1,I am eating dinnerAAa with my family .,"['ARG0', 'O', 'O', 'ARG1', 'O', 'O', 'O', 'O']",robustness,mft,argument_alternation ,"['0', '0', '1', '0', '0', '0', '0']",token 2,tokens 3
robustness_2,The ocean is a dangerous place12 .,"['ARG1', 'ARG1', 'O', 'ARG2', 'ARG2', 'ARG2', 'O']",robustness,mft,argument_alternation ,"['0', '0', '1', '0', '0', '0', '0']",token 2,tokens 5
robustness_3,Are youBGAr going to the party next Saturday ?,"['O', 'ARG0',  'O', 'ARG4', 'ARG4', 'ARG4', 'O', 'O', 'O']",robustness,mft,argument_alternation ,"['0', '0', '1', '0', '0', '0', '0', '0', '0']",token 2,tokens 4
robustness_4,Where did I put m23y phone ?,"['ARG2', 'O', 'ARG0', 'O', 'ARG1', 'ARG1', 'O']",robustness,mft,argument_alternation ,"['0', '0', '0', '1', '0', '0',  '0']",token 3,tokens 4
robustness_5,"He is a horrible liarxzf , don't trust him .","['ARG1', 'O', 'ARG2', 'ARG2', 'ARG2', 'O', 'O', 'O', 'ARG1', 'O']",robustness,mft,argument_alternation ,"['0', '1', '0', '0', '0', '0', '0', '0', '0', '0']",token 1,tokens 4
